method,stage,stage_order,x,scientificName,species,sp_persist
pipe,0,0,0,Nesogale talazaci,Nesogale_talazaci,1
pipe,0,0,0,Nesomys rufus,Nesomys_rufus,1
pipe,0,0,0,Newtonia amphichroa,Newtonia_amphichroa,1
pipe,0,0,0,Newtonia brunneicauda,Newtonia_brunneicauda,1
pipe,0,0,0,Oryzorictes hova,Oryzorictes_hova,1
pipe,0,0,0,Otus rutilus,Otus_rutilus,0.999999999999792
pipe,0,0,0,Oxylabes madagascariensis,Oxylabes_madagascariensis,1
pipe,0,0,0,Philepitta castanea,Philepitta_castanea,0.999999999298268
pipe,0,0,0,Ploceus nelicourvi,Ploceus_nelicourvi,1
pipe,0,0,0,Polyboroides radiatus,Polyboroides_radiatus,0.999930790749088
pipe,0,0,0,Pseudobias wardi,Pseudobias_wardi,1
pipe,0,0,0,Pterocles personatus,Pterocles_personatus,0.995633067437116
pipe,0,0,0,Randia pseudozosterops,Randia_pseudozosterops,1
pipe,0,0,0,Sarothrura insularis,Sarothrura_insularis,0.999999999969126
pipe,0,0,0,Setifer setosus,Setifer_setosus,1
pipe,0,0,0,Tenrec ecaudatus,Tenrec_ecaudatus,1
pipe,0,0,0,Treron australis,Treron_australis,0.999857116736382
pipe,0,0,0,Turnix nigricollis,Turnix_nigricollis,0.999999999905907
pipe,0,0,0,Tylas eduardi,Tylas_eduardi,1
pipe,0,0,0,Vanga curvirostris,Vanga_curvirostris,0.99999999955796
pipe,0,0,0,Varecia rubra,Varecia_rubra,1
pipe,0,0,0,Varecia variegata,Varecia_variegata,1
pipe,0,0,0,Xanthomixis cinereiceps,Xanthomixis_cinereiceps,1
pipe,0,0,0,Xanthomixis zosterops,Xanthomixis_zosterops,1
pipe,1,1,4.81480209504086,Accipiter henstii,Accipiter_henstii,0.943959944087264
pipe,1,1,4.81480209504086,Accipiter madagascariensis,Accipiter_madagascariensis,0.993594990514952
pipe,1,1,4.81480209504086,Acrocephalus newtoni,Acrocephalus_newtoni,1
pipe,1,1,4.81480209504086,Alectroenas madagascariensis,Alectroenas_madagascariensis,0.999998659431645
pipe,1,1,4.81480209504086,Apus balstoni,Apus_balstoni,1
pipe,1,1,4.81480209504086,Artamella viridis,Artamella_viridis,1
pipe,1,1,4.81480209504086,Asio madagascariensis,Asio_madagascariensis,0.982789840323275
pipe,1,1,4.81480209504086,Atelornis crossleyi,Atelornis_crossleyi,1
pipe,1,1,4.81480209504086,Atelornis pittoides,Atelornis_pittoides,1
pipe,1,1,4.81480209504086,Athene superciliaris,Athene_superciliaris,0.999999995426883
pipe,1,1,4.81480209504086,Aviceda madagascariensis,Aviceda_madagascariensis,0.997870782783596
pipe,1,1,4.81480209504086,Bernieria madagascariensis,Bernieria_madagascariensis,1
pipe,1,1,4.81480209504086,Brachypteracias leptosomus,Brachypteracias_leptosomus,0.999999998820981
pipe,1,1,4.81480209504086,Buteo brachypterus,Buteo_brachypterus,0.978835850536993
pipe,1,1,4.81480209504086,Calicalicus madagascariensis,Calicalicus_madagascariensis,1
pipe,1,1,4.81480209504086,Cheirogaleus major,Cheirogaleus_major,1
pipe,1,1,4.81480209504086,Cheirogaleus medius,Cheirogaleus_medius,1
pipe,1,1,4.81480209504086,Cinnyris notatus,Cinnyris_notatus,1
pipe,1,1,4.81480209504086,Coracopsis nigra,Coracopsis_nigra,0.999999960451279
pipe,1,1,4.81480209504086,Corythornis madagascariensis,Corythornis_madagascariensis,0.99999588913318
