method,stage,stage_order,x,n_species,mean_persist,median_persist,frac_gt_05
pipe,0,0,0,103,0.99196482636773,1,0.990291262135922
pipe,1,1,4.81480209504086,103,0.99196482636773,1,0.990291262135922
pipe,2,2,9.55800057489893,103,0.991964826370349,1,0.990291262135922
pipe,3,3,14.2804048379956,103,0.991964755388262,1,0.990291262135922
pipe,4,4,19.0002686311713,103,0.991964601930006,1,0.990291262135922
pipe,5,5,23.7798334674921,103,0.991965966138754,1,0.990291262135922
pipe,6,6,28.515928040719,103,0.991961932119222,1,0.990291262135922
pipe,7,7,33.2333454554522,103,0.992013374740177,1,0.990291262135922
pipe,8,8,37.977343712878,103,0.991986444320051,1,0.990291262135922
pipe,9,9,42.6936790756077,103,0.991955848232643,1,0.990291262135922
pipe,10,10,47.4216347359393,103,0.991914980993772,1,0.990291262135922
pipe,11,11,52.1474262922641,103,0.991830810270413,1,0.990291262135922
pipe,12,12,56.8814978987021,103,0.991704078357397,1,0.990291262135922
pipe,13,13,61.6129819894796,103,0.991515792173333,1,0.990291262135922
pipe,14,14,66.3471947331354,103,0.99123296335217,1,0.990291262135922
pipe,15,15,71.0699283164071,103,0.991047396453448,1,0.990291262135922
pipe,16,16,75.7903096127148,103,0.989360555210427,1,0.990291262135922
pipe,17,17,80.5167598093895,103,0.987644463286265,1,0.990291262135922
pipe,18,18,85.2259912654881,103,0.982760857590125,1,0.990291262135922
pipe,19,19,89.9412916219536,103,0.966026282883886,1,0.970873786407767
pipe,20,20,94.6576740304226,103,0.951149480325918,0.999999990356402,0.951456310679612
pipe,21,21,99.3770203204662,103,0.795868366837316,0.998590654694734,0.815533980582524
pipe,22,22,99.8076299720878,103,0.658132113894722,0.967363859796979,0.669902912621359
rank,0,0,0,103,0.99196482636773,1,0.990291262135922
rank,1,1,4.81480209504086,103,0.991961361643454,1,0.990291262135922
rank,2,2,9.55800057489893,103,0.991952294851977,1,0.990291262135922
rank,3,3,14.2804048379956,103,0.991935394725361,1,0.990291262135922
rank,4,4,19.0002686311713,103,0.991892687166806,1,0.990291262135922
rank,5,5,23.7798334674921,103,0.991826044619972,1,0.990291262135922
rank,6,6,28.515928040719,103,0.991776879437412,1,0.990291262135922
rank,7,7,33.2333454554522,103,0.991710000127861,1,0.990291262135922
rank,8,8,37.977343712878,103,0.991380995307297,1,0.990291262135922
rank,9,9,42.6936790756077,103,0.990960892773312,1,0.990291262135922
rank,10,10,47.4216347359393,103,0.990808356869877,1,0.990291262135922
rank,11,11,52.1474262922641,103,0.990317567080057,1,0.990291262135922
rank,12,12,56.8814978987021,103,0.989834198385823,1,0.990291262135922
rank,13,13,61.6129819894796,103,0.988567257441972,1,0.990291262135922
rank,14,14,66.3471947331354,103,0.987660783173327,1,0.990291262135922
rank,15,15,71.0699283164071,103,0.984058918282257,1,0.990291262135922
rank,16,16,75.7903096127148,103,0.982235839181101,1,0.980582524271845
rank,17,17,80.5167598093895,103,0.976507271047527,1,0.980582524271845
rank,18,18,85.2259912654881,103,0.966124345672107,1,0.970873786407767
rank,19,19,89.9412916219536,103,0.931730292701866,1,0.941747572815534
rank,20,20,94.6576740304226,103,0.89214335036175,1,0.883495145631068
rank,21,21,99.3770203204662,103,0.727936126470208,0.999842856074258,0.718446601941748
rank,22,22,99.8076299720878,103,0.546024045272694,0.794448828313151,0.592233009708738
