alpha,beta_logM,beta_ilr1,beta_ilr2,sigma
0.05389340842897041,-0.18303985327529576,0.06154293548472904,0.08715850017509184,0.2851367953530294
-0.06785870068298222,-0.1395604272888697,0.0646035555594884,0.07866945905526208,0.312370390915097
-0.21707950645213028,-0.08750398024739334,0.04274181599242425,0.0033927335734863125,0.32225762579857953
-0.018871016292316408,-0.1622924026526072,0.026510751353838347,0.053056327215942084,0.29868376704594946
-0.018252631166733056,-0.16846213592614978,0.06722760888152082,0.05538729442558372,0.29279803531609855
0.007704891842386182,-0.16507783741829457,0.08849611435137635,0.07797782246209305,0.2955888897589201
0.07401842536265853,-0.20968816526647652,0.07828081026021032,0.0725832557741824,0.28532716358727195
-0.005907370209381112,-0.18209241331614395,0.06744298258960195,0.07182735458259865,0.2998109759251226
0.0015915223922798932,-0.17211435639031486,0.09195144311555409,0.07279721616316898,0.30393443019721056
-0.04954387233670248,-0.14296471705511749,0.06292891363704994,0.07018225024925824,0.26733871696098344
-0.08913223568213091,-0.13830537552429376,0.06192666524670097,0.051870258083591594,0.2884166140659552
-0.07657833681404543,-0.13278718593397368,0.06455844985601618,0.05311173676039342,0.2631846050453925
0.010333453397432192,-0.15747945109098122,0.0859957295433784,0.12071411053680345,0.28726086006585044
-0.012696571207919356,-0.15992383450944772,0.0643315504106391,0.08641984558572952,0.29619641035127653
0.015163047826832279,-0.16774249505931782,0.09411551721496855,0.08423201507749374,0.26573216225853513
0.1163624148366945,-0.20427466539186026,0.07276816022165929,0.10601179435095136,0.2830297526600231
0.13642064670656195,-0.2160430832380197,0.07581390857549676,0.1111248891221731,0.2848471931565625
9.009553050659883e-5,-0.1546731142561793,0.0926130185532411,0.07977185168943918,0.27811375334177457
-0.00548511744329384,-0.15717871785776238,0.06758805828875514,0.07414608312399995,0.2794087503860634
0.00969228996376246,-0.17064121682405953,0.0884987202829738,0.09465276370540215,0.310253993334758
-0.04153968489055845,-0.16181690357471187,0.03384425314528529,0.06976953931378117,0.27711947160397316
0.06053620414770504,-0.1752400662938918,0.05206032997448966,0.09356174996974309,0.30431660033500174
0.06678381837982543,-0.20375994504972075,0.07896927655577159,0.0686890875535252,0.28177223107308247
0.06163564394196949,-0.18468151653853773,0.07373166329145787,0.07828403483316461,0.27968812579117336
-0.019288270231013222,-0.1551469125037149,0.05518927571017493,0.05898219496374591,0.2850995534496252
0.036388263092832336,-0.19429803500190523,0.05511032613140572,0.09664425045418173,0.273088482493219
0.008389669510270887,-0.1585081503248668,0.07597371584905419,0.06842630739422711,0.2817167783224703
-0.055543934161676134,-0.13782759017741877,0.06452096184091773,0.08873198356208317,0.31237887982994417
-0.03386662813368708,-0.16450894665423632,0.07710784864402408,0.09766713116512288,0.29543972131288593
-0.022288471358860945,-0.140763045250667,0.09786637267550556,0.07813677939822583,0.31100505337590373
-0.10195643154285546,-0.12005691048105584,0.07975969603483996,0.07428003029973627,0.2931708301253653
-0.045218470247931436,-0.15674548651417472,0.10439697500740298,0.06025685880990429,0.2941009721592803
0.020161757245022935,-0.18457881002418153,0.07787856056030093,0.07130476167746286,0.3056964017379881
0.07578792689489103,-0.19613649981644826,0.07841707970991521,0.07739039709111314,0.2874539777267059
-0.032454046296275726,-0.16706927929489462,0.0953152587140636,0.054803170769509045,0.30611718690194184
-0.0883220269086171,-0.1252684232426413,0.051809399411353374,0.024445728198534588,0.286484903527087
0.10828382979311507,-0.2065404296277654,0.05045995645979859,0.09730351373487746,0.2731526273160813
-0.03234788662800607,-0.16273687789067962,0.09768263812685954,0.08341577545443579,0.30388476784340657
-0.06410201994193718,-0.11406455962958711,0.05699911185408752,0.06729838995399465,0.3038256594310259
0.010092063351885693,-0.1510594011586373,0.03311028594176087,0.09621675842090514,0.30081525600163
0.0409216885808017,-0.16809203452681012,0.06652029518861739,0.09776269188619427,0.2706685056782291
0.006826787538550325,-0.1562393777543798,0.08041709306532702,0.08815574358512163,0.2810194019927326
0.01719451360338688,-0.1750674243624,0.050613440463966555,0.06661562025500206,0.3297065905323989
-0.0010394947905883883,-0.1511543022560109,0.07463801775815154,0.07022854125307795,0.30397901186304016
-8.037419695574935e-4,-0.16686894624648724,0.09258645023359087,0.0578604489161819,0.27440963356014036
-0.11865215270307922,-0.1190227730906005,0.07275203284558172,0.03999883377791117,0.3127426676522769
-0.16885457398723572,-0.09119519656141337,0.04766295100404245,0.024970066876250377,0.3112224091112477
-0.01442049683592378,-0.17389079052277762,0.07300372638074046,0.061352997565164345,0.30770677004076286
0.07755351831942842,-0.1956916502867354,0.09573271829612798,0.10262569200336003,0.28910395446324066
0.004710300392647398,-0.1675102445222615,0.07011229791957739,0.0644190456934951,0.3239710476165638
-0.00504157893682507,-0.16258959300518275,0.06597181371800362,0.1121815848196646,0.28824009212520085
-0.02203582981602228,-0.15744121872310105,0.054576148372524724,0.0658333729477077,0.29676332120308346
-0.07666839569821887,-0.1393451937450703,0.06686857392177258,0.034739415481470665,0.2813442393269135
0.05029977521715763,-0.18270346037048724,0.08066092182504121,0.09287120687099805,0.2933129460070981
0.042533488654148605,-0.19563929371982133,0.0648639762246012,0.07171825846637302,0.2740807715538008
0.08603914452104808,-0.21011911291659052,0.06224840357571444,0.0808715052251519,0.27747234855199615
