stage,alive_end,removed_end,pct_removed_end
1,2023248,102343,4.81480209504086
2,1922427,203164,9.55800057489893
3,1822048,303543,14.2804048379956
4,1721723,403868,19.0002686311713
5,1620129,505462,23.7798334674921
6,1519459,606132,28.515928040719
7,1419186,706405,33.2333454554522
8,1318348,807243,37.977343712878
9,1218098,907493,42.6936790756077
10,1117601,1007990,47.4216347359393
11,1017150,1108441,52.1474262922641
12,916523,1209068,56.8814978987021
13,815951,1309640,61.6129819894796
14,715321,1410270,66.3471947331354
15,614935,1510656,71.0699283164071
16,514599,1610992,75.7903096127148
17,414134,1711457,80.5167598093895
18,314035,1811556,85.2259912654881
19,213807,1911784,89.9412916219536
20,113556,2012035,94.6576740304226
21,13242,2112349,99.3770203204662
22,4089,2121502,99.8076299720878
