Order	Family	Species	log10(rm)	log10(alpha)	log10(B)	log10(M)
Rodentia	Heteromyidae	Chaetodipus formosus	NA	0	-0.9872	1.2339
Rodentia	Heteromyidae	Chaetodipus hispidus	NA	NA	-0.5742	1.5519
Rodentia	Heteromyidae	Chaetodipus intermedius	NA	NA	-0.9756	1.201
Rodentia	Heteromyidae	Chaetodipus penicillatus	NA	NA	-0.9031	1.2041
Rodentia	Heteromyidae	Dipodomys agilis	NA	NA	-0.4498	1.7825
Rodentia	Heteromyidae	Dipodomys deserti	NA	NA	-0.2866	2.0244
Rodentia	Heteromyidae	Dipodomys heermanni	NA	NA	-0.3893	1.8014
Rodentia	Heteromyidae	Dipodomys merriami	NA	-0.5541	-0.6083	1.5889
Rodentia	Heteromyidae	Dipodomys microps	NA	NA	-0.4748	1.7373
Rodentia	Heteromyidae	Dipodomys nitratoides	NA	-0.6168	-0.6903	1.5639
Rodentia	Heteromyidae	Dipodomys ordii	NA	-0.6659	-0.4705	1.7079
Rodentia	Heteromyidae	Dipodomys panamintinus	NA	-0.9521	-0.4016	1.8205
Rodentia	Heteromyidae	Heteromys anomalus	NA	-0.8565	-0.251	1.8429
Rodentia	Heteromyidae	Heteromys desmarestianus	NA	-0.1978	-0.2573	1.8831
Rodentia	Heteromyidae	Liomys adspersus	NA	-0.2778	NA	1.8129
Rodentia	Heteromyidae	Liomys irroratus	NA	NA	-0.4975	1.6672
Rodentia	Heteromyidae	Liomys pictus	NA	-0.566	NA	1.699
Rodentia	Heteromyidae	Liomys salvini	NA	-0.7467	-0.5516	1.6264
Rodentia	Heteromyidae	Microdipodops megacephalus	NA	NA	-0.7747	1.0414
Rodentia	Heteromyidae	Microdipodops pallidus	NA	NA	-0.9586	1.1818
Rodentia	Heteromyidae	Perognathus flavescens	NA	-0.6398	NA	0.9542
Rodentia	Heteromyidae	Perognathus flavus	NA	NA	-1.0132	0.9191
Rodentia	Heteromyidae	Perognathus longimembris	NA	-0.3837	-1.2153	0.9429
Rodentia	Heteromyidae	Perognathus parvus	NA	-0.5633	-0.7959	1.2932
Rodentia	Hydrochaeridae	Hydrochaeris hydrochaeris	-0.1612	0.2004	1.5658	4.5533
Rodentia	Hystricidae	Hystrix africaeaustralis	NA	0.1027	1.1198	4.1242
Rodentia	Muridae	Acomys cahirinus	NA	-0.7738	-0.5884	1.6394
Rodentia	Muridae	Acomys russatus	NA	-0.6021	-0.6201	1.7398
Rodentia	Muridae	Acomys spinosissimus	NA	NA	-0.6091	1.4317
Rodentia	Muridae	Acomys subspinosus	NA	NA	-0.3325	1.5085
Rodentia	Muridae	Aethomys chrysophilus	NA	-0.5028	NA	1.8951
Rodentia	Muridae	Aethomys namaquensis	NA	NA	-0.5341	1.7964
Rodentia	Muridae	Akodon albiventer	NA	NA	-0.5867	1.4914
Rodentia	Muridae	Akodon azarae	NA	-0.7447	-0.6469	1.4061
Rodentia	Muridae	Akodon lanosus	NA	NA	-0.5952	1.3802
Rodentia	Muridae	Akodon longipilis	NA	-0.727	-0.4935	1.6005
Rodentia	Muridae	Akodon olivaceus	NA	-0.2341	-0.5591	1.4395
Rodentia	Muridae	Akodon urichi	NA	-0.6478	NA	1.699
Rodentia	Muridae	Alticola argentatus	NA	NA	-0.1707	1.5763
Rodentia	Muridae	Apodemus agrarius	NA	-0.6812	-0.4283	1.3294
Rodentia	Muridae	Apodemus flavicollis	NA	-0.8565	-0.438	1.4596
Rodentia	Muridae	Apodemus hermonensis	NA	NA	-0.5521	1.3139
Rodentia	Muridae	Apodemus mystacinus	NA	NA	-0.4552	1.6164
Rodentia	Muridae	Apodemus sylvaticus	NA	-0.71	-0.5772	1.3729
Rodentia	Muridae	Arborimus longicaudus	NA	NA	-0.4828	1.3385
Rodentia	Muridae	Arvicanthis niloticus	NA	-0.8191	NA	1.8096
Rodentia	Muridae	Arvicola terrestris	NA	-0.8513	-0.2127	2.0278
Rodentia	Muridae	Auliscomys boliviensis	NA	NA	-0.2097	1.8854
Rodentia	Muridae	Auliscomys micropus	NA	-0.7782	-0.2628	1.8277
Rodentia	Muridae	Baiomys taylori	NA	-0.7891	-1.0223	0.874
Rodentia	Muridae	Bandicota bengalensis	NA	-0.6642	NA	2.2219
Rodentia	Muridae	Bandicota indica	NA	-0.1554	NA	2.7364
Rodentia	Muridae	Beamys hindei	NA	-0.2435	NA	2.0072
Rodentia	Muridae	Bolomys lasiurus	NA	-0.7212	NA	1.6013
Rodentia	Muridae	Calomys callosus	NA	-0.8437	-0.4302	1.6523
Rodentia	Muridae	Calomys lepidus	NA	NA	-0.7932	1.2041
Rodentia	Muridae	Calomys musculinus	NA	-0.6972	-0.8125	1.2367
Rodentia	Muridae	Cannomys badius	NA	NA	-0.0177	2.5366
Rodentia	Muridae	Chionomys nivalis	NA	NA	-0.3449	1.5159
Rodentia	Muridae	Chiropodomys gliroides	NA	-0.5567	NA	1.4065
Rodentia	Muridae	Chroeomys andinus	NA	NA	-0.4523	1.541
Rodentia	Muridae	Clethrionomys californicus	NA	NA	-0.4672	1.2625
Rodentia	Muridae	Clethrionomys gapperi	NA	-0.4771	-0.5361	1.341
Rodentia	Muridae	Clethrionomys glareolus	0.8354	-0.5864	-0.5054	1.2932
Rodentia	Muridae	Clethrionomys rufocanus	NA	-0.7717	-0.4944	1.4526
Rodentia	Muridae	Clethrionomys rutilus	NA	-0.4771	-0.3665	1.4225
Rodentia	Muridae	Conilurus penicillatus	NA	NA	-0.0419	2.3288
Rodentia	Muridae	Cricetomys gambianus	NA	-0.3533	0.7799	3.1328
Rodentia	Muridae	Cricetulus migratorius	NA	NA	-0.6108	1.4871
Rodentia	Muridae	Cricetus cricetus	NA	-0.5554	0.0972	2.6337
Rodentia	Muridae	Dasymys incomtus	NA	-0.71	NA	2.026
Rodentia	Muridae	Desmodillus auricularis	NA	NA	-0.3098	1.8569
Rodentia	Muridae	Dicrostonyx groenlandicus	NA	-0.9586	-0.3385	1.7476
Rodentia	Muridae	Dicrostonyx richardsoni	NA	-0.6021	NA	1.7404
Rodentia	Muridae	Dicrostonyx torquatus	NA	-0.6021	NA	1.9294
Rodentia	Muridae	Eligmodontia typus	NA	-0.8361	-0.7773	1.2867
Rodentia	Muridae	Ellobius talpinus	NA	-0.5809	NA	1.5798
Rodentia	Muridae	Eolagurus luteus	NA	-1.0924	NA	1.415
Rodentia	Muridae	Euneomys chinchilloides	NA	NA	-0.327	1.8156
Rodentia	Muridae	Gerbillurus paeba	NA	-0.683	-0.7122	1.4925
Rodentia	Muridae	Gerbillurus setzeri	NA	NA	-0.6861	1.6637
Rodentia	Muridae	Gerbillurus tytonis	NA	NA	-0.752	1.4757
Rodentia	Muridae	Gerbillurus vallinus	NA	NA	-0.7122	1.5888
Rodentia	Muridae	Gerbillus allenbyi	NA	NA	-0.6635	1.5478
Rodentia	Muridae	Gerbillus dasyurus	NA	NA	-0.7878	1.4409
Rodentia	Muridae	Gerbillus gerbillus	NA	NA	-0.6253	1.4728
Rodentia	Muridae	Gerbillus nanus	NA	NA	-0.8881	1.4723
Rodentia	Muridae	Gerbillus perpallidus	NA	NA	-0.5836	1.7505
Rodentia	Muridae	Gerbillus pusillus	NA	NA	-1.1249	1.1004
Rodentia	Muridae	Gerbillus pyramidum	NA	-0.6659	-0.3429	1.8018
Rodentia	Muridae	Golunda ellioti	NA	NA	-0.4698	1.7497
Rodentia	Muridae	Grammomys dolichurus	NA	-0.699	NA	1.6405
Rodentia	Muridae	Graomys griseoflavus	NA	NA	-0.3288	1.8414
Rodentia	Muridae	Holochilus brasiliensis	NA	-0.5673	NA	2.1903
Rodentia	Muridae	Hybomys univittatus	NA	-0.6123	NA	1.7143
Rodentia	Muridae	Hydromys chrysogaster	NA	-0.35	0.4728	2.8684
Rodentia	Muridae	Hylomyscus stella	NA	-0.9754	NA	1.2227
Rodentia	Muridae	Isthmomys pirrensis	NA	NA	-0.1694	2.1396
Rodentia	Muridae	Lagurus lagurus	NA	-0.9858	NA	1.3075
Rodentia	Muridae	Lasiopodomys brandtii	NA	-0.7782	-0.3686	1.6042
Rodentia	Muridae	Leggadina forresti	NA	-0.6021	NA	1.301
Rodentia	Muridae	Leggadina lakedownensis	NA	-0.6021	NA	1.243
Rodentia	Muridae	Lemmiscus curtatus	NA	-0.8027	-0.5513	1.4578
Rodentia	Muridae	Lemmus lemmus	NA	-0.9686	0.0298	1.8082
Rodentia	Muridae	Lemmus sibiricus	NA	-0.8097	-0.1756	1.7782
Rodentia	Muridae	Lemniscomys griselda	NA	NA	-0.4935	1.6767
Rodentia	Muridae	Lemniscomys rosalia	NA	NA	-0.4647	1.7035
Rodentia	Muridae	Lemniscomys striatus	NA	-0.338	NA	1.6263
Rodentia	Muridae	Leporillus conditor	NA	-0.2059	NA	2.5218
Rodentia	Muridae	Lophuromys flavopunctatus	NA	-0.7782	NA	1.7404
Rodentia	Muridae	Malacothrix typica	NA	-0.7528	-0.9393	1.2137
Rodentia	Muridae	Mastomys erythroleucus	NA	-0.426	NA	1.5771
Rodentia	Muridae	Mastomys natalensis	NA	-0.6367	-0.7375	1.6354
Rodentia	Muridae	Megadontomys thomasi	NA	NA	-0.1599	2.0445
Rodentia	Muridae	Melomys cervinipes	NA	-0.2716	NA	1.9731
Rodentia	Muridae	Meriones crassus	NA	-0.6021	NA	1.6839
Rodentia	Muridae	Meriones hurrianae	NA	-0.5217	-0.5215	1.847
Rodentia	Muridae	Meriones libycus	NA	-0.6021	NA	1.8865
Rodentia	Muridae	Meriones shawi	NA	-0.5528	NA	2.2672
Rodentia	Muridae	Meriones tristrami	NA	NA	-0.2596	2.0492
Rodentia	Muridae	Meriones unguiculatus	NA	-0.6576	-0.2632	1.7688
Rodentia	Muridae	Mesembriomys gouldii	NA	-0.7137	NA	2.9542
Rodentia	Muridae	Mesocricetus auratus	NA	-0.8917	-0.1614	2.0277
Rodentia	Muridae	Mesocricetus brandti	NA	-1.011	NA	2.2956
Rodentia	Muridae	Micromys minutus	NA	-0.93	-0.6957	0.8297
Rodentia	Muridae	Microtus agrestis	0.7173	-1.0055	-0.435	1.4861
Rodentia	Muridae	Microtus arvalis	NA	-0.8833	-0.4647	1.3895
Rodentia	Muridae	Microtus breweri	NA	NA	-0.3851	1.7251
Rodentia	Muridae	Microtus californicus	0.6646	-0.7427	-0.4202	1.658
Rodentia	Muridae	Microtus canicaudus	NA	-0.8167	NA	1.5478
Rodentia	Muridae	Microtus fortis	NA	-0.5051	NA	1.7993
Rodentia	Muridae	Microtus guentheri	NA	-0.2889	-0.3497	1.6771
Rodentia	Muridae	Microtus longicaudus	NA	NA	-0.4171	1.5119
Rodentia	Muridae	Microtus mexicanus	NA	NA	-0.5834	1.4533
Rodentia	Muridae	Microtus montanus	NA	-1.1654	-0.3373	1.6058
Rodentia	Muridae	Microtus montebelli	NA	-0.7782	NA	1.6004
Rodentia	Muridae	Microtus ochrogaster	NA	-0.8861	-0.3874	1.6425
Rodentia	Muridae	Microtus oeconomus	0.6646	-1.1015	-0.2468	1.6962
Rodentia	Muridae	Microtus oregoni	NA	-1.058	NA	1.3118
Rodentia	Muridae	Microtus pennsylvanicus	0.7782	-1.1015	-0.3684	1.5889
Rodentia	Muridae	Microtus pinetorum	NA	-0.5727	-0.5152	1.4001
Rodentia	Muridae	Microtus richardsoni	NA	NA	-0.1544	1.8093
Rodentia	Muridae	Microtus socialis	NA	-1.0378	NA	1.6812
Rodentia	Muridae	Microtus subterraneus	NA	-0.5781	-0.5591	1.2702
Rodentia	Muridae	Microtus townsendii	0.7911	-1	-0.2976	1.729
Rodentia	Muridae	Microtus xanthognathus	NA	NA	-0.2596	1.8357
Rodentia	Muridae	Millardia meltada	NA	-0.6079	-0.4855	1.8369
Rodentia	Muridae	Mus minutoides	NA	-0.7825	-0.8897	0.8814
Rodentia	Muridae	Mus musculus	0.6785	-0.7017	-0.5674	1.2406
Rodentia	Muridae	Mus spretus	NA	-0.9521	-0.4622	1.2228
Rodentia	Muridae	Mus triton	NA	-0.8565	NA	1.0952
Rodentia	Muridae	Myomys daltoni	NA	-0.4221	NA	1.525
Rodentia	Muridae	Myopus schisticolor	NA	-1.0498	-0.2823	1.4098
Rodentia	Muridae	Mystromys albicaudatus	NA	-0.5633	-0.1506	1.9987
Rodentia	Muridae	Nannospalax ehrenbergi	NA	NA	-0.2332	2.1263
Rodentia	Muridae	Nannospalax leucodon	NA	NA	-0.1194	2.2632
Rodentia	Muridae	Neacomys tenuipes	NA	-1.0792	NA	1.2788
Rodentia	Muridae	Neofiber alleni	NA	-0.605	0.0824	2.4208
Rodentia	Muridae	Neotoma albigula	NA	-0.3802	-0.1338	2.2731
Rodentia	Muridae	Neotoma cinerea	NA	-0.0151	0.0614	2.4674
Rodentia	Muridae	Neotoma devia	NA	-0.6812	NA	1.9854
Rodentia	Muridae	Neotoma floridana	NA	-0.4062	NA	2.5688
Rodentia	Muridae	Neotoma fuscipes	NA	-0.301	-0.0841	2.3201
Rodentia	Muridae	Neotoma lepida	NA	-0.4549	-0.337	2.0746
Rodentia	Muridae	Neotoma mexicana	NA	-0.7782	NA	2.3075
Rodentia	Muridae	Neotoma micropus	NA	-0.4279	NA	2.3735
Rodentia	Muridae	Neotoma stephensi	NA	-0.1015	NA	2.1523
Rodentia	Muridae	Neotomodon alstoni	NA	-0.4782	NA	1.699
Rodentia	Muridae	Notomys alexis	NA	-0.6812	-0.5986	1.5266
Rodentia	Muridae	Notomys cervinus	NA	-0.3549	-0.6209	1.5358
Rodentia	Muridae	Notomys fuscus	NA	-0.6478	NA	1.5441
Rodentia	Muridae	Notomys mitchellii	NA	-0.699	NA	1.716
Rodentia	Muridae	Ochrotomys nuttalli	NA	NA	-0.821	1.29
Rodentia	Muridae	Oecomys concolor	NA	-0.6021	NA	1.783
Rodentia	Muridae	Oenomys hypoxanthus	NA	-0.496	NA	1.932
Rodentia	Muridae	Oligoryzomys longicaudatus	NA	NA	-0.5452	1.4502
Rodentia	Muridae	Oligoryzomys nigripes	NA	-0.7936	NA	1.3551
Rodentia	Muridae	Ondatra zibethicus	NA	-0.3837	0.6397	3.0224
Rodentia	Muridae	Onychomys leucogaster	NA	-0.4707	NA	1.6021
Rodentia	Muridae	Onychomys torridus	NA	-0.757	-0.7825	1.2799
Rodentia	Muridae	Oryzomys capito	NA	-0.9178	NA	1.8004
Rodentia	Muridae	Oryzomys palustris	NA	-0.8288	NA	1.6782
Rodentia	Muridae	Otomys irroratus	NA	-0.6478	-0.3242	2.0877
Rodentia	Muridae	Otomys sloggetti	NA	-0.6398	-0.1273	2.0685
Rodentia	Muridae	Otomys unisulcatus	NA	NA	-0.2255	1.9823
Rodentia	Muridae	Ototylomys phyllotis	NA	-1.1447	NA	2.0043
Rodentia	Muridae	Oxymycterus roberti	NA	NA	-0.2941	1.9217
Rodentia	Muridae	Oxymycterus rufus	NA	-0.5302	NA	1.932
Rodentia	Muridae	Parotomys brantsii	NA	-0.4696	-0.3298	2.0081
Rodentia	Muridae	Peromyscus boylii	NA	-0.8697	-0.5186	1.4117
Rodentia	Muridae	Peromyscus californicus	NA	-0.9031	-0.5733	1.6478
Rodentia	Muridae	Peromyscus crinitus	NA	-0.5028	-0.79	1.262
Rodentia	Muridae	Peromyscus eremicus	NA	-0.4528	-0.761	1.3605
Rodentia	Muridae	Peromyscus gossypinus	NA	-0.8539	-0.6861	1.3974
Rodentia	Muridae	Peromyscus hooperi	NA	-0.7175	NA	1.5563
Rodentia	Muridae	Peromyscus leucopus	NA	-0.7118	-0.6724	1.3548
Rodentia	Muridae	Peromyscus maniculatus	NA	-0.6676	-0.6598	1.3122
Rodentia	Muridae	Peromyscus megalops	NA	-0.8833	-0.292	1.8357
Rodentia	Muridae	Peromyscus oreas	NA	NA	-0.6144	1.3906
Rodentia	Muridae	Peromyscus polionotus	NA	-1.0835	-0.9208	1.1127
Rodentia	Muridae	Peromyscus sitkensis	NA	NA	-0.5834	1.4518
Rodentia	Muridae	Peromyscus truei	NA	-1.0073	-0.5133	1.4758
Rodentia	Muridae	Petromyscus collinus	NA	NA	-0.9393	1.3098
Rodentia	Muridae	Phenacomys intermedius	NA	-0.9964	-0.426	1.4255
Rodentia	Muridae	Phenacomys ungava	NA	-0.9823	NA	1.4314
Rodentia	Muridae	Phodopus campbelli	NA	-0.9031	NA	1.3692
Rodentia	Muridae	Phodopus sungorus	NA	-0.4826	-0.5048	1.4325
Rodentia	Muridae	Phyllotis darwini	0.4771	-0.7696	-0.4774	1.6723
Rodentia	Muridae	Phyllotis magister	NA	NA	-0.4145	1.798
Rodentia	Muridae	Phyllotis xanthopygus	NA	NA	-0.5003	1.7404
Rodentia	Muridae	Podomys floridanus	NA	NA	-0.5406	1.4886
Rodentia	Muridae	Praomys jacksoni	NA	-0.7044	NA	1.6021
Rodentia	Muridae	Praomys morio	NA	-0.5963	NA	1.3222
Rodentia	Muridae	Praomys tullbergi	NA	-0.6494	NA	1.5678
Rodentia	Muridae	Psammomys obesus	NA	-0.3396	NA	2.2488
Rodentia	Muridae	Pseudomys albocinereus	NA	-0.6812	NA	1.415
Rodentia	Muridae	Pseudomys australis	NA	-0.5241	NA	1.8129
Rodentia	Muridae	Pseudomys desertor	NA	-0.6812	NA	1.3979
Rodentia	Muridae	Pseudomys gracilicaudatus	NA	NA	-0.3307	1.902
Rodentia	Muridae	Pseudomys hermannsburgensis	NA	-0.6795	-0.8861	1.0828
Rodentia	Muridae	Pseudomys higginsi	NA	-0.1249	NA	1.7789
Rodentia	Muridae	Pseudomys nanus	NA	-0.5567	NA	1.5315
Rodentia	Muridae	Pseudomys novaehollandiae	NA	-0.6006	NA	1.2553
Rodentia	Muridae	Pseudomys shortridgei	NA	-0.0378	NA	1.8062
Rodentia	Muridae	Rattus argentiventer	NA	-0.8751	NA	2.3054
Rodentia	Muridae	Rattus colletti	NA	-0.7782	-0.1637	2.0023
Rodentia	Muridae	Rattus exulans	NA	-0.4685	NA	1.8451
Rodentia	Muridae	Rattus fuscipes	NA	-0.5339	-0.327	2.0023
Rodentia	Muridae	Rattus leucopus	NA	-0.5122	NA	2.0934
Rodentia	Muridae	Rattus lutreolus	NA	-0.6642	-0.4522	2.0491
Rodentia	Muridae	Rattus norvegicus	NA	-0.7328	0.1473	2.3815
Rodentia	Muridae	Rattus rattus	NA	-0.4971	-0.1135	2.23
Rodentia	Muridae	Rattus sordidus	NA	-0.7632	-0.2255	2.1844
Rodentia	Muridae	Rattus tunneyi	NA	-0.9858	NA	2.055
Rodentia	Muridae	Rattus villosissimus	NA	-0.7118	-0.1614	2.3171
Rodentia	Muridae	Reithrodon auritus	NA	-0.7782	-0.3686	1.8772
Rodentia	Muridae	Reithrodontomys humulis	NA	-0.5426	NA	1.0128
Rodentia	Muridae	Reithrodontomys megalotis	NA	-0.5314	-0.8861	0.9984
Rodentia	Muridae	Reithrodontomys montanus	NA	-0.6882	NA	0.9542
Rodentia	Muridae	Rhabdomys pumilio	NA	-0.8288	-0.7471	1.6526
Rodentia	Muridae	Rhombomys opimus	NA	-0.5351	NA	2.1553
Rodentia	Muridae	Saccostomus campestris	NA	-0.7427	-0.5627	1.7544
Rodentia	Muridae	Scotinomys teguina	NA	-1.0261	-0.7595	1.0792
Rodentia	Muridae	Scotinomys xerampelinus	NA	-0.8411	-0.7496	1.179
Rodentia	Muridae	Sekeetamys calurus	NA	NA	-0.5621	1.8038
Rodentia	Muridae	Sigmodon alleni	NA	NA	0.0546	2.1392
Rodentia	Muridae	Sigmodon alstoni	NA	-0.7782	NA	1.7459
Rodentia	Muridae	Sigmodon fulviventer	NA	-0.9031	0.0633	2.2318
Rodentia	Muridae	Sigmodon hispidus	NA	-0.9619	0.0354	2.2351
Rodentia	Muridae	Sigmodon leucotis	NA	NA	0.017	2.1092
Rodentia	Muridae	Sigmodon ochrognathus	NA	-0.9456	-0.0655	2.0584
Rodentia	Muridae	Steatomys pratensis	NA	NA	-0.9788	1.5745
Rodentia	Muridae	Stochomys longicaudatus	NA	NA	-0.262	1.9204
Rodentia	Muridae	Tachyoryctes splendens	NA	-0.3811	-0.0673	2.3057
Rodentia	Muridae	Tatera afra	NA	-0.3802	0.0069	1.9506
Rodentia	Muridae	Tatera brantsii	NA	-0.3388	NA	1.8751
Rodentia	Muridae	Tatera inclusa	NA	-0.5477	NA	2.1173
Rodentia	Muridae	Tatera indica	NA	-0.6228	-0.3752	2.0527
Rodentia	Muridae	Tatera leucogaster	NA	NA	-0.1238	2.162
Rodentia	Muridae	Tatera valida	NA	-0.5673	NA	2.0531
Rodentia	Muridae	Taterillus gracilis	NA	-0.6021	NA	1.7147
Rodentia	Muridae	Taterillus pygargus	NA	-0.6021	NA	1.6821
Rodentia	Muridae	Thallomys nigricauda	NA	NA	-0.4179	2.0959
Rodentia	Muridae	Thallomys paedulcus	NA	-0.5265	-0.3125	2.0054
Rodentia	Muridae	Thamnomys venustus	NA	-0.6414	NA	1.8129
Rodentia	Muridae	Tylomys nudicaudus	NA	-0.5809	NA	2.4472
Rodentia	Muridae	Uromys caudimaculatus	NA	-0.301	0.503	2.8527
Rodentia	Muridae	Zygodontomys brevicauda	NA	-0.9208	NA	1.7634
Rodentia	Myocastoridae	Myocastor coypus	NA	-0.359	NA	3.8543
Rodentia	Myoxidae	Eliomys quercinus	NA	0.1761	NA	2.0607
Rodentia	Myoxidae	Graphiurus murinus	NA	NA	-0.6478	1.5847
Rodentia	Myoxidae	Graphiurus ocularis	NA	NA	-0.4318	1.8312
Rodentia	Myoxidae	Muscardinus avellanarius	NA	0.1383	-0.4547	1.4039
Rodentia	Myoxidae	Myoxus glis	NA	-0.0539	-0.178	2.1692
Rodentia	Octodontidae	Aconaemys fuscus	NA	NA	-0.1707	2.0492
Rodentia	Octodontidae	Octodon bridgesi	NA	NA	0.0099	2.2458
Rodentia	Octodontidae	Octodon degus	0.5196	-0.0666	-0.0189	2.2537
Rodentia	Octodontidae	Octodon lunatus	NA	NA	-0.0191	2.2385
Rodentia	Octodontidae	Octodontomys gliroides	NA	NA	-0.1455	2.1879
Rodentia	Octodontidae	Octomys mimax	NA	NA	-0.1925	2.0741
Rodentia	Octodontidae	Spalacopus cyanus	NA	NA	-0.251	2.1011
Rodentia	Octodontidae	Tympanoctomys barrerae	NA	NA	-0.3665	1.8537
Rodentia	Pedetidae	Pedetes capensis	NA	0.4523	0.6461	3.4529
Rodentia	Sciuridae	Ammospermophilus harrisii	NA	-0.058	NA	2.1004
Rodentia	Sciuridae	Ammospermophilus leucurus	NA	0	-0.2914	1.9813
Rodentia	Sciuridae	Cynomys gunnisoni	NA	-0.0151	NA	2.912
Rodentia	Sciuridae	Cynomys leucurus	NA	0.2965	NA	2.9413
Rodentia	Sciuridae	Cynomys ludovicianus	-0.1192	0.3204	0.3725	3.0079
Rodentia	Sciuridae	Cynomys parvidens	NA	0	NA	2.7126
Rodentia	Sciuridae	Epixerus wilsoni	NA	NA	0.1294	2.6628
Rodentia	Sciuridae	Funambulus pennantii	NA	-0.1938	NA	2.1692
Rodentia	Sciuridae	Funisciurus anerythrus	NA	NA	-0.2366	1.7993
Rodentia	Sciuridae	Funisciurus congicus	NA	NA	-0.2733	2.0504
Rodentia	Sciuridae	Funisciurus isabella	NA	NA	-0.2441	1.7782
Rodentia	Sciuridae	Funisciurus lemniscatus	NA	NA	-0.301	1.9777
Rodentia	Sciuridae	Funisciurus pyrropus	NA	NA	0.0048	2.3874
Rodentia	Sciuridae	Glaucomys sabrinus	NA	-0.1854	NA	2.1211
Rodentia	Sciuridae	Glaucomys volans	NA	-0.0442	-0.3829	1.8222
Rodentia	Sciuridae	Heliosciurus rufobrachium	NA	NA	-0.1284	2.3617
Rodentia	Sciuridae	Marmota caligata	NA	0.3958	NA	3.8023
Rodentia	Sciuridae	Marmota flaviventris	NA	0.3494	0.9358	3.5499
Rodentia	Sciuridae	Marmota marmota	NA	0.3979	NA	3.3032
Rodentia	Sciuridae	Marmota monax	NA	0.1715	0.5677	3.4782
Rodentia	Sciuridae	Marmota olympus	NA	0.426	NA	3.7993
Rodentia	Sciuridae	Marmota vancouverensis	NA	0.5119	NA	3.6767
Rodentia	Sciuridae	Paraxerus cepapi	NA	-0.2946	-0.091	2.342
Rodentia	Sciuridae	Paraxerus palliatus	NA	NA	0.0759	2.439
Rodentia	Sciuridae	Paraxerus poensis	NA	-0.4559	NA	2.1271
Rodentia	Sciuridae	Ratufa bicolor	NA	0.4704	NA	3.3324
Rodentia	Sciuridae	Ratufa macroura	NA	0.301	NA	3.1072
Rodentia	Sciuridae	Sciurus aberti	NA	-0.0478	0.3806	2.8209
Rodentia	Sciuridae	Sciurus carolinensis	NA	-0.0588	0.3143	2.6881
Rodentia	Sciuridae	Sciurus griseus	NA	-0.058	NA	2.876
Rodentia	Sciuridae	Sciurus niger	NA	-0.0069	NA	2.9051
Rodentia	Sciuridae	Sciurus vulgaris	NA	-0.1005	NA	2.5115
Rodentia	Sciuridae	Spermophilus armatus	NA	-0.0234	-0.0383	2.4922
Rodentia	Sciuridae	Spermophilus beecheyi	NA	-0.0147	0.2487	2.7814
Rodentia	Sciuridae	Spermophilus beldingi	NA	-0.0132	-0.0989	2.4564
Rodentia	Sciuridae	Spermophilus citellus	NA	-0.0651	0.1045	2.3583
Rodentia	Sciuridae	Spermophilus columbianus	NA	0.1671	NA	2.6687
Rodentia	Sciuridae	Spermophilus franklinii	NA	-0.0482	0.3404	2.7225
Rodentia	Sciuridae	Spermophilus lateralis	NA	0.2418	-0.0148	2.2974
Rodentia	Sciuridae	Spermophilus mexicanus	NA	0	NA	2.1171
Rodentia	Sciuridae	Spermophilus mohavensis	NA	NA	-0.2013	2.3802
Rodentia	Sciuridae	Spermophilus mollis	NA	0	NA	2.2185
Rodentia	Sciuridae	Spermophilus parryii	-0.0555	-0.0234	0.4625	2.7959
Rodentia	Sciuridae	Spermophilus relictus	NA	0	NA	2.7782
Rodentia	Sciuridae	Spermophilus richardsonii	NA	-0.0276	-0.1034	2.48
Rodentia	Sciuridae	Spermophilus saturatus	NA	0	-0.0713	2.4243
Rodentia	Sciuridae	Spermophilus spilosoma	NA	0	-0.265	2.1545
Rodentia	Sciuridae	Spermophilus tereticaudus	NA	-0.0502	-0.3004	2.1551
Rodentia	Sciuridae	Spermophilus townsendii	NA	-0.0114	-0.1982	2.2703
Rodentia	Sciuridae	Spermophilus tridecemlineatus	NA	-0.0136	-0.0072	2.2674
Rodentia	Sciuridae	Spermophilus undulatus	NA	NA	0.5564	2.8438
Rodentia	Sciuridae	Spermophilus washingtoni	NA	0	NA	2.3075
Rodentia	Sciuridae	Tamias alpinus	NA	NA	-0.4921	1.5911
Rodentia	Sciuridae	Tamias amoenus	NA	-0.0099	-0.3014	1.7145
Rodentia	Sciuridae	Tamias merriami	NA	NA	-0.3377	1.8861
Rodentia	Sciuridae	Tamias minimus	NA	NA	-0.4572	1.6926
Rodentia	Sciuridae	Tamias palmeri	NA	NA	-0.2	1.8414
Rodentia	Sciuridae	Tamias quadrimaculatus	NA	-0.0323	NA	1.9467
Rodentia	Sciuridae	Tamias quadrivittatus	NA	-0.0378	NA	1.7644
Rodentia	Sciuridae	Tamias ruficaudus	NA	0	NA	1.7581
Rodentia	Sciuridae	Tamias sibiricus	NA	-0.0185	NA	1.9294
Rodentia	Sciuridae	Tamias speciosus	NA	0	NA	1.7782
Rodentia	Sciuridae	Tamias striatus	NA	-0.3802	-0.09	1.9665
Rodentia	Sciuridae	Tamias townsendii	NA	-0.014	NA	1.9243
Rodentia	Sciuridae	Tamiasciurus douglasii	NA	-0.4771	NA	2.3614
Rodentia	Sciuridae	Tamiasciurus hudsonicus	0.2175	-0.0142	0.2081	2.3105
Rodentia	Sciuridae	Xerus erythropus	NA	-0.301	NA	2.7007
