method,stage,stage_order,x,scientificName,species,sp_persist
pipe,0,0,0,Accipiter henstii,Accipiter_henstii,0.766326458364161
pipe,0,0,0,Accipiter madagascariensis,Accipiter_madagascariensis,0.926575596565357
pipe,0,0,0,Acrocephalus newtoni,Acrocephalus_newtoni,1
pipe,0,0,0,Alectroenas madagascariensis,Alectroenas_madagascariensis,0.999433434238587
pipe,0,0,0,Apus balstoni,Apus_balstoni,0.999999999999767
pipe,0,0,0,Artamella viridis,Artamella_viridis,0.999999999873689
pipe,0,0,0,Asio madagascariensis,Asio_madagascariensis,0.870275138966643
pipe,0,0,0,Atelornis crossleyi,Atelornis_crossleyi,0.999999989035352
pipe,0,0,0,Atelornis pittoides,Atelornis_pittoides,0.999999999161256
pipe,0,0,0,Athene superciliaris,Athene_superciliaris,0.999997242139869
pipe,0,0,0,Aviceda madagascariensis,Aviceda_madagascariensis,0.977223151940578
pipe,0,0,0,Bernieria madagascariensis,Bernieria_madagascariensis,1
pipe,0,0,0,Brachypteracias leptosomus,Brachypteracias_leptosomus,0.999999259953002
pipe,0,0,0,Buteo brachypterus,Buteo_brachypterus,0.871728581931991
pipe,0,0,0,Calicalicus madagascariensis,Calicalicus_madagascariensis,1
pipe,0,0,0,Cheirogaleus major,Cheirogaleus_major,1
pipe,0,0,0,Cheirogaleus medius,Cheirogaleus_medius,1
pipe,0,0,0,Cinnyris notatus,Cinnyris_notatus,1
pipe,0,0,0,Coracopsis nigra,Coracopsis_nigra,0.999946225604498
pipe,0,0,0,Corythornis madagascariensis,Corythornis_madagascariensis,0.936409225907242
pipe,0,0,0,Coua coquereli,Coua_coquereli,0.999999690851106
pipe,0,0,0,Coua cristata,Coua_cristata,1
pipe,0,0,0,Coua cursor,Coua_cursor,0.999902208882066
pipe,0,0,0,Coua gigas,Coua_gigas,0.99987653476535
pipe,0,0,0,Coua serriana,Coua_serriana,0.991302775022802
pipe,0,0,0,Cryptoprocta ferox,Cryptoprocta_ferox,0.0705418032919055
pipe,0,0,0,Cyanolanius madagascarinus,Cyanolanius_madagascarinus,0.999999999999987
pipe,0,0,0,Echinops telfairi,Echinops_telfairi,1
pipe,0,0,0,Eliurus majori,Eliurus_majori,1
pipe,0,0,0,Eliurus minor,Eliurus_minor,1
pipe,0,0,0,Eliurus myoxinus,Eliurus_myoxinus,1
pipe,0,0,0,Eliurus tanala,Eliurus_tanala,1
pipe,0,0,0,Eliurus webbi,Eliurus_webbi,1
pipe,0,0,0,Eremopterix hova,Eremopterix_hova,0.999999753055175
pipe,0,0,0,Eulemur albifrons,Eulemur_albifrons,1
pipe,0,0,0,Eulemur cinereiceps,Eulemur_cinereiceps,1
pipe,0,0,0,Eulemur collaris,Eulemur_collaris,1
pipe,0,0,0,Eulemur coronatus,Eulemur_coronatus,1
pipe,0,0,0,Eulemur fulvus,Eulemur_fulvus,1
pipe,0,0,0,Eulemur rubriventer,Eulemur_rubriventer,1
pipe,0,0,0,Eulemur rufus,Eulemur_rufus,1
pipe,0,0,0,Eulemur sanfordi,Eulemur_sanfordi,1
pipe,0,0,0,Fossa fossana,Fossa_fossana,0.97858696141704
pipe,0,0,0,Foudia madagascariensis,Foudia_madagascariensis,0.999999959538365
pipe,0,0,0,Foudia omissa,Foudia_omissa,0.999999999999983
pipe,0,0,0,Gactornis enarratus,Gactornis_enarratus,0.999999423981903
pipe,0,0,0,Galidia elegans,Galidia_elegans,0.9685955978619
pipe,0,0,0,Gymnuromys roberti,Gymnuromys_roberti,1
pipe,0,0,0,Hapalemur alaotrensis,Hapalemur_alaotrensis,1
pipe,0,0,0,Hapalemur griseus,Hapalemur_griseus,1
pipe,0,0,0,Hartlaubius auratus,Hartlaubius_auratus,0.999999999998892
pipe,0,0,0,Hemicentetes semispinosus,Hemicentetes_semispinosus,0.999999999999997
pipe,0,0,0,Hypositta corallirostris,Hypositta_corallirostris,0.999988386058576
pipe,0,0,0,Indri indri,Indri_indri,0.999999981188527
pipe,0,0,0,Lepidopygia nana,Lepidopygia_nana,0.999251958572374
pipe,0,0,0,Lepilemur edwardsi,Lepilemur_edwardsi,1
pipe,0,0,0,Lepilemur leucopus,Lepilemur_leucopus,1
pipe,0,0,0,Lepilemur mustelinus,Lepilemur_mustelinus,1
pipe,0,0,0,Lepilemur ruficaudatus,Lepilemur_ruficaudatus,1
pipe,0,0,0,Leptopterus chabert,Leptopterus_chabert,0.999999997629204
pipe,0,0,0,Lophotibis cristata,Lophotibis_cristata,0.999852530220023
pipe,0,0,0,Mentocrex kioloides,Mentocrex_kioloides,0.999957852767802
pipe,0,0,0,Microcebus murinus,Microcebus_murinus,1
pipe,0,0,0,Microcebus rufus,Microcebus_rufus,1
pipe,0,0,0,Microgale brevicaudata,Microgale_brevicaudata,1
pipe,0,0,0,Microgale cowani,Microgale_cowani,1
pipe,0,0,0,Microgale gymnorhyncha,Microgale_gymnorhyncha,1
pipe,0,0,0,Microgale longicaudata,Microgale_longicaudata,1
pipe,0,0,0,Microgale parvula,Microgale_parvula,0.999999999999965
pipe,0,0,0,Microgale principula,Microgale_principula,1
pipe,0,0,0,Microgale soricoides,Microgale_soricoides,1
pipe,0,0,0,Microgale taiva,Microgale_taiva,1
pipe,0,0,0,Monticola sharpei,Monticola_sharpei,1
pipe,0,0,0,Motacilla flaviventris,Motacilla_flaviventris,1
pipe,0,0,0,Mystacornis crossleyi,Mystacornis_crossleyi,1
pipe,0,0,0,Neodrepanis coruscans,Neodrepanis_coruscans,0.999999915120666
pipe,0,0,0,Neomixis striatigula,Neomixis_striatigula,1
pipe,0,0,0,Neomixis viridis,Neomixis_viridis,1
pipe,0,0,0,Nesogale dobsoni,Nesogale_dobsoni,1
pipe,0,0,0,Nesogale talazaci,Nesogale_talazaci,1
pipe,0,0,0,Nesomys rufus,Nesomys_rufus,1
pipe,0,0,0,Newtonia amphichroa,Newtonia_amphichroa,1
pipe,0,0,0,Newtonia brunneicauda,Newtonia_brunneicauda,1
pipe,0,0,0,Oryzorictes hova,Oryzorictes_hova,1
pipe,0,0,0,Otus rutilus,Otus_rutilus,0.999999977784544
pipe,0,0,0,Oxylabes madagascariensis,Oxylabes_madagascariensis,1
pipe,0,0,0,Philepitta castanea,Philepitta_castanea,0.999798835961944
pipe,0,0,0,Ploceus nelicourvi,Ploceus_nelicourvi,0.999999999999984
pipe,0,0,0,Polyboroides radiatus,Polyboroides_radiatus,0.998867352120153
pipe,0,0,0,Pseudobias wardi,Pseudobias_wardi,1
pipe,0,0,0,Pterocles personatus,Pterocles_personatus,0.920581767447234
pipe,0,0,0,Randia pseudozosterops,Randia_pseudozosterops,0.999999995788057
pipe,0,0,0,Sarothrura insularis,Sarothrura_insularis,0.999991420626471
pipe,0,0,0,Setifer setosus,Setifer_setosus,1
pipe,0,0,0,Tenrec ecaudatus,Tenrec_ecaudatus,1
pipe,0,0,0,Treron australis,Treron_australis,0.997009778639984
pipe,0,0,0,Turnix nigricollis,Turnix_nigricollis,0.999998166623335
pipe,0,0,0,Tylas eduardi,Tylas_eduardi,0.999999999997317
pipe,0,0,0,Vanga curvirostris,Vanga_curvirostris,0.999987455384138
pipe,0,0,0,Varecia rubra,Varecia_rubra,1
pipe,0,0,0,Varecia variegata,Varecia_variegata,0.999999999999929
pipe,0,0,0,Xanthomixis cinereiceps,Xanthomixis_cinereiceps,1
pipe,0,0,0,Xanthomixis zosterops,Xanthomixis_zosterops,0.999999999999997
pipe,1,1,4.80760409693116,Accipiter henstii,Accipiter_henstii,0.766326458364161
pipe,1,1,4.80760409693116,Accipiter madagascariensis,Accipiter_madagascariensis,0.926575596565357
pipe,1,1,4.80760409693116,Acrocephalus newtoni,Acrocephalus_newtoni,1
pipe,1,1,4.80760409693116,Alectroenas madagascariensis,Alectroenas_madagascariensis,0.999433434238555
pipe,1,1,4.80760409693116,Apus balstoni,Apus_balstoni,0.999999999999412
pipe,1,1,4.80760409693116,Artamella viridis,Artamella_viridis,0.999999999854702
pipe,1,1,4.80760409693116,Asio madagascariensis,Asio_madagascariensis,0.870275138966643
pipe,1,1,4.80760409693116,Atelornis crossleyi,Atelornis_crossleyi,0.999999989035352
pipe,1,1,4.80760409693116,Atelornis pittoides,Atelornis_pittoides,0.999999999161256
pipe,1,1,4.80760409693116,Athene superciliaris,Athene_superciliaris,0.999997242139869
pipe,1,1,4.80760409693116,Aviceda madagascariensis,Aviceda_madagascariensis,0.977223151940578
pipe,1,1,4.80760409693116,Bernieria madagascariensis,Bernieria_madagascariensis,1
pipe,1,1,4.80760409693116,Brachypteracias leptosomus,Brachypteracias_leptosomus,0.999999259953002
pipe,1,1,4.80760409693116,Buteo brachypterus,Buteo_brachypterus,0.871728581931991
pipe,1,1,4.80760409693116,Calicalicus madagascariensis,Calicalicus_madagascariensis,1
pipe,1,1,4.80760409693116,Cheirogaleus major,Cheirogaleus_major,1
pipe,1,1,4.80760409693116,Cheirogaleus medius,Cheirogaleus_medius,1
pipe,1,1,4.80760409693116,Cinnyris notatus,Cinnyris_notatus,1
pipe,1,1,4.80760409693116,Coracopsis nigra,Coracopsis_nigra,0.999946194818011
pipe,1,1,4.80760409693116,Corythornis madagascariensis,Corythornis_madagascariensis,0.936409225907242
pipe,1,1,4.80760409693116,Coua coquereli,Coua_coquereli,0.999999674928704
pipe,1,1,4.80760409693116,Coua cristata,Coua_cristata,1
pipe,1,1,4.80760409693116,Coua cursor,Coua_cursor,0.999902208882066
pipe,1,1,4.80760409693116,Coua gigas,Coua_gigas,0.99987653476535
pipe,1,1,4.80760409693116,Coua serriana,Coua_serriana,0.991302775022802
pipe,1,1,4.80760409693116,Cryptoprocta ferox,Cryptoprocta_ferox,0.0705418032919055
pipe,1,1,4.80760409693116,Cyanolanius madagascarinus,Cyanolanius_madagascarinus,1
pipe,1,1,4.80760409693116,Echinops telfairi,Echinops_telfairi,1
pipe,1,1,4.80760409693116,Eliurus majori,Eliurus_majori,1
pipe,1,1,4.80760409693116,Eliurus minor,Eliurus_minor,1
pipe,1,1,4.80760409693116,Eliurus myoxinus,Eliurus_myoxinus,1
pipe,1,1,4.80760409693116,Eliurus tanala,Eliurus_tanala,1
pipe,1,1,4.80760409693116,Eliurus webbi,Eliurus_webbi,1
pipe,1,1,4.80760409693116,Eremopterix hova,Eremopterix_hova,0.999999726586375
pipe,1,1,4.80760409693116,Eulemur albifrons,Eulemur_albifrons,1
pipe,1,1,4.80760409693116,Eulemur cinereiceps,Eulemur_cinereiceps,1
pipe,1,1,4.80760409693116,Eulemur collaris,Eulemur_collaris,1
pipe,1,1,4.80760409693116,Eulemur coronatus,Eulemur_coronatus,1
pipe,1,1,4.80760409693116,Eulemur fulvus,Eulemur_fulvus,1
pipe,1,1,4.80760409693116,Eulemur rubriventer,Eulemur_rubriventer,1
pipe,1,1,4.80760409693116,Eulemur rufus,Eulemur_rufus,1
pipe,1,1,4.80760409693116,Eulemur sanfordi,Eulemur_sanfordi,1
pipe,1,1,4.80760409693116,Fossa fossana,Fossa_fossana,0.97858696141704
pipe,1,1,4.80760409693116,Foudia madagascariensis,Foudia_madagascariensis,0.999999993295305
pipe,1,1,4.80760409693116,Foudia omissa,Foudia_omissa,0.99999999999998
pipe,1,1,4.80760409693116,Gactornis enarratus,Gactornis_enarratus,0.999999423981903
pipe,1,1,4.80760409693116,Galidia elegans,Galidia_elegans,0.9685955978619
pipe,1,1,4.80760409693116,Gymnuromys roberti,Gymnuromys_roberti,1
pipe,1,1,4.80760409693116,Hapalemur alaotrensis,Hapalemur_alaotrensis,1
pipe,1,1,4.80760409693116,Hapalemur griseus,Hapalemur_griseus,1
pipe,1,1,4.80760409693116,Hartlaubius auratus,Hartlaubius_auratus,0.999999999999787
pipe,1,1,4.80760409693116,Hemicentetes semispinosus,Hemicentetes_semispinosus,0.999999999999996
pipe,1,1,4.80760409693116,Hypositta corallirostris,Hypositta_corallirostris,0.999988376217531
pipe,1,1,4.80760409693116,Indri indri,Indri_indri,0.999999980888284
pipe,1,1,4.80760409693116,Lepidopygia nana,Lepidopygia_nana,0.999400962537832
pipe,1,1,4.80760409693116,Lepilemur edwardsi,Lepilemur_edwardsi,1
pipe,1,1,4.80760409693116,Lepilemur leucopus,Lepilemur_leucopus,1
pipe,1,1,4.80760409693116,Lepilemur mustelinus,Lepilemur_mustelinus,1
pipe,1,1,4.80760409693116,Lepilemur ruficaudatus,Lepilemur_ruficaudatus,1
pipe,1,1,4.80760409693116,Leptopterus chabert,Leptopterus_chabert,0.9999999994313
pipe,1,1,4.80760409693116,Lophotibis cristata,Lophotibis_cristata,0.999852530220023
pipe,1,1,4.80760409693116,Mentocrex kioloides,Mentocrex_kioloides,0.999957852767802
pipe,1,1,4.80760409693116,Microcebus murinus,Microcebus_murinus,1
pipe,1,1,4.80760409693116,Microcebus rufus,Microcebus_rufus,1
pipe,1,1,4.80760409693116,Microgale brevicaudata,Microgale_brevicaudata,1
pipe,1,1,4.80760409693116,Microgale cowani,Microgale_cowani,1
pipe,1,1,4.80760409693116,Microgale gymnorhyncha,Microgale_gymnorhyncha,1
pipe,1,1,4.80760409693116,Microgale longicaudata,Microgale_longicaudata,1
pipe,1,1,4.80760409693116,Microgale parvula,Microgale_parvula,1
pipe,1,1,4.80760409693116,Microgale principula,Microgale_principula,1
pipe,1,1,4.80760409693116,Microgale soricoides,Microgale_soricoides,1
pipe,1,1,4.80760409693116,Microgale taiva,Microgale_taiva,1
pipe,1,1,4.80760409693116,Monticola sharpei,Monticola_sharpei,1
pipe,1,1,4.80760409693116,Motacilla flaviventris,Motacilla_flaviventris,1
pipe,1,1,4.80760409693116,Mystacornis crossleyi,Mystacornis_crossleyi,1
pipe,1,1,4.80760409693116,Neodrepanis coruscans,Neodrepanis_coruscans,0.999999911956989
pipe,1,1,4.80760409693116,Neomixis striatigula,Neomixis_striatigula,1
pipe,1,1,4.80760409693116,Neomixis viridis,Neomixis_viridis,1
pipe,1,1,4.80760409693116,Nesogale dobsoni,Nesogale_dobsoni,1
pipe,1,1,4.80760409693116,Nesogale talazaci,Nesogale_talazaci,1
pipe,1,1,4.80760409693116,Nesomys rufus,Nesomys_rufus,1
pipe,1,1,4.80760409693116,Newtonia amphichroa,Newtonia_amphichroa,1
pipe,1,1,4.80760409693116,Newtonia brunneicauda,Newtonia_brunneicauda,1
pipe,1,1,4.80760409693116,Oryzorictes hova,Oryzorictes_hova,1
pipe,1,1,4.80760409693116,Otus rutilus,Otus_rutilus,0.99999998754506
pipe,1,1,4.80760409693116,Oxylabes madagascariensis,Oxylabes_madagascariensis,1
pipe,1,1,4.80760409693116,Philepitta castanea,Philepitta_castanea,0.999798835961944
pipe,1,1,4.80760409693116,Ploceus nelicourvi,Ploceus_nelicourvi,0.99999999999998
pipe,1,1,4.80760409693116,Polyboroides radiatus,Polyboroides_radiatus,0.998867352120153
pipe,1,1,4.80760409693116,Pseudobias wardi,Pseudobias_wardi,1
pipe,1,1,4.80760409693116,Pterocles personatus,Pterocles_personatus,0.920581767447234
pipe,1,1,4.80760409693116,Randia pseudozosterops,Randia_pseudozosterops,0.999999995657377
pipe,1,1,4.80760409693116,Sarothrura insularis,Sarothrura_insularis,0.999992133710075
pipe,1,1,4.80760409693116,Setifer setosus,Setifer_setosus,1
